timestamps,TP9,AF7,AF8,TP10,Right AUX
1560169075.648,4.395,28.809,28.809,-0.977,15.137
1560169075.652,-0.977,30.762,27.832,-2.930,26.367
1560169075.655,-6.348,29.297,29.785,-3.906,50.293
1560169075.659,6.348,28.320,29.297,12.695,38.574
1560169075.663,23.926,30.273,23.926,29.785,51.270
1560169075.667,9.766,28.809,24.902,10.742,52.734
1560169075.671,3.418,27.832,26.855,1.953,54.688
1560169075.675,2.930,30.273,25.879,0.977,12.695
1560169075.679,13.672,31.250,26.367,13.184,41.992
1560169075.683,30.273,28.320,23.926,29.785,58.594
1560169075.687,11.719,27.832,24.902,5.859,50.781
1560169075.691,-0.488,31.250,25.879,-11.719,70.312
1560169075.694,-5.371,29.297,24.902,-12.695,-9.766
1560169075.698,1.465,27.344,24.902,-3.418,-41.992
1560169075.702,15.625,27.344,20.508,11.230,-12.695
1560169075.706,-3.418,23.926,19.043,-2.930,7.324
1560169075.710,-9.277,25.391,22.461,-5.371,4.883
1560169075.714,-1.953,31.250,26.855,0.000,41.992
1560169075.718,3.418,32.715,24.902,-0.488,60.547
1560169075.722,16.602,27.832,17.578,14.160,29.297
1560169075.726,1.953,27.832,16.113,4.395,78.613
1560169075.730,-9.766,28.809,22.949,-13.184,70.801
1560169075.734,-9.766,27.832,25.391,-19.043,62.500
1560169075.737,-3.906,30.273,23.438,-9.766,66.406
1560169075.741,21.973,29.297,23.438,20.508,56.152
1560169075.745,16.113,30.762,23.438,16.602,65.918
1560169075.749,-2.930,35.645,24.414,0.488,36.133
1560169075.753,-4.883,34.668,23.438,-1.465,11.719
1560169075.757,1.465,31.738,21.484,4.395,41.504
1560169075.761,27.344,30.762,20.996,26.855,-22.949
1560169075.765,26.367,33.203,21.973,19.531,-53.711
1560169075.769,8.301,31.250,20.996,0.000,-0.977
1560169075.773,7.812,32.227,19.043,2.441,18.555
1560169075.776,13.672,32.715,19.043,2.930,52.734
1560169075.780,29.785,32.715,18.555,20.996,58.594
1560169075.784,27.344,35.156,19.531,19.043,59.570
1560169075.788,10.742,35.645,20.996,-3.418,63.965
1560169075.792,7.812,35.645,23.926,-2.930,73.242
